Region,Country,City,Airport Name,IATA Code,longitude_deg,latitude_deg
Eastern Africa,Tanzania,Mwanza,Mwanza Airport,MWZ,32.932701110839844,-2.4444899559020996
Eastern Africa,Tanzania,Tanga,Tanga Airport,TGT,39.071201,-5.09236
Eastern Africa,Tanzania,"Unguja, Zanzibar",Abeid Amani Karume International Airport,ZNZ,39.224899,-6.22202
Eastern Africa,Uganda,Arua,Arua Airport,RUA,30.911714,3.049152
Eastern Africa,Uganda,Entebbe,Entebbe International Airport,EBB,32.443501,0.042386
Eastern Africa,Uganda,Gulu,Gulu Airport,ULU,32.27180099487305,2.8055601119995117
Eastern Africa,Zambia,Livingstone,Harry Mwanga Nkumbula International Airport,LVI,25.822701,-17.8218
Eastern Africa,Zambia,Lusaka,Kenneth Kaunda International Airport,LUN,28.452722,-15.330833
Eastern Africa,Zambia,Mfuwe,Mfuwe Airport,MFU,31.936599731445312,-13.258899688720703
Eastern Africa,Zambia,Ndola,Simon Mwansa Kapwepwe International Airport,NLA,28.516667,-12.961667
Eastern Africa,Zimbabwe,Harare,Robert Gabriel Mugabe International Airport,HRE,31.0928,-17.931801
Eastern Africa,Zimbabwe,Victoria Falls,Victoria Falls Airport,VFA,25.839000701904297,-18.09589958190918
Eastern Africa,Zimbabwe,Bulawayo,Joshua Mqabuko Nkomo International Airport,BUQ,28.626296,-20.021254
Caribbean,Anguilla,The Valley,Clayton J. Lloyd International Airport,AXA,-63.05383,18.204773
Caribbean,Antigua and Barbuda,St. John's,V. C. Bird International Airport,ANU,-61.792702,17.1367
Caribbean,Aruba,Oranjestad,Queen Beatrix International Airport,AUA,-70.015198,12.5014
Caribbean,The Bahamas,Nassau,Lynden Pindling International Airport,NAS,-77.466202,25.039
Caribbean,The Bahamas,Chub Cay,Chub Cay International Airport,CCZ,-77.880898,25.417101
Caribbean,The Bahamas,Exuma,Exuma International Airport,GGT,-75.877998,23.562599
Caribbean,The Bahamas,Freeport,Grand Bahama International Airport,FPO,-78.695602417,26.5587005615
Caribbean,The Bahamas,North Eleuthera,North Eleuthera Airport,ELH,-76.6835021973,25.474899292
Caribbean,The Bahamas,South Eleuthera,Rock Sound International Airport,RSD,-76.1768817902,24.8950787333
Caribbean,The Bahamas,Marsh Harbour,Marsh Harbour International Airport,MHH,-77.084262,26.510711
Caribbean,Barbados,Bridgetown,Grantley Adams International Airport,BGI,-59.4925,13.0746
Caribbean,British Virgin Islands,Road Town,Terrance B. Lettsome International Airport,EIS,-64.541707,18.445492
Caribbean,Caribbean Netherlands,"Kralendijk, Bonaire",Flamingo International Airport,BON,-68.268501,12.131
Caribbean,Caribbean Netherlands,"Oranjestad, Sint Eustatius",F. D. Roosevelt Airport,EUX,-62.979401,17.4965
Caribbean,Caribbean Netherlands,"Flat Point, Saba",Juancho E. Yrausquin Airport,SAB,-63.220571,17.645351
Caribbean,Cayman Islands,Cayman Brac,Charles Kirkconnell International Airport,CYB,-79.882797,19.687
Caribbean,Cayman Islands,Georgetown,Owen Roberts International Airport,GCM,-81.357697,19.292801
Caribbean,Cuba,Camagüey,Ignacio Agramonte International Airport,CMW,-77.84750366210938,21.420299530029297
Caribbean,Cuba,Cayo Coco,Jardines del Rey Airport,CCC,-78.32839965820001,22.4610004425
Caribbean,Cuba,Cayo Largo del Sur,Vilo Acuña Airport,CYO,-81.5459976196,21.6165008545
Caribbean,Cuba,Cienfuegos,Jaime González Airport,CFG,-80.41419982910156,22.149999618530273
